"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Array Design REF"	"Protocol REF"	"Scan Name"	"Image File"	"Array Data File"	"Array Data Matrix File"	"Protocol REF"	"Normalization Name"	"Derived Array Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Array Data Matrix File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"
"SAMEA2630434"	"RNA extraction"	"A704-40"	"labeling"	"A704-40"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-40"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-40.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630373"	"RNA extraction"	"A704-64"	"labeling"	"A704-64"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-64"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-64.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630400"	"RNA extraction"	"A704-05"	"labeling"	"A704-05"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-05"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-05.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630377"	"RNA extraction"	"A704-29"	"labeling"	"A704-29"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-29"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-29.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630390"	"RNA extraction"	"A704-53_2"	"labeling"	"A704-53_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-53_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-53_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630410"	"RNA extraction"	"A704-17"	"labeling"	"A704-17"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-17"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-17.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630375"	"RNA extraction"	"A704-41"	"labeling"	"A704-41"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-41"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-41.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630369"	"RNA extraction"	"A704-65"	"labeling"	"A704-65"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-65"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-65.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630416"	"RNA extraction"	"A704-06"	"labeling"	"A704-06"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-06"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-06.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630406"	"RNA extraction"	"A704-30"	"labeling"	"A704-30"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-30"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-30.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630399"	"RNA extraction"	"A704-54"	"labeling"	"A704-54"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-54"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-54.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630421"	"RNA extraction"	"A704-18"	"labeling"	"A704-18"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-18"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-18.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630396"	"RNA extraction"	"A704-42"	"labeling"	"A704-42"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-42"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-42.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630419"	"RNA extraction"	"A704-66"	"labeling"	"A704-66"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-66"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-66.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630391"	"RNA extraction"	"A704-01"	"labeling"	"A704-01"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-01"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-01.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630413"	"RNA extraction"	"A704-25"	"labeling"	"A704-25"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-25"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-25.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630432"	"RNA extraction"	"A704-49"	"labeling"	"A704-49"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-49"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-49.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630429"	"RNA extraction"	"A704-13"	"labeling"	"A704-13"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-13"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-13.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630379"	"RNA extraction"	"A704-37"	"labeling"	"A704-37"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-37"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-37.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630425"	"RNA extraction"	"A704-61"	"labeling"	"A704-61"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-61"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-61.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630398"	"RNA extraction"	"A704-02"	"labeling"	"A704-02"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-02"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-02.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630386"	"RNA extraction"	"A704-26"	"labeling"	"A704-26"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-26"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-26.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630372"	"RNA extraction"	"A704-50_2"	"labeling"	"A704-50_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-50_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-50_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630378"	"RNA extraction"	"A704-14"	"labeling"	"A704-14"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-14"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-14.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630368"	"RNA extraction"	"A704-38_2"	"labeling"	"A704-38_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-38_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-38_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630415"	"RNA extraction"	"A704-62"	"labeling"	"A704-62"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-62"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-62.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630366"	"RNA extraction"	"A704-09"	"labeling"	"A704-09"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-09"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-09.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630380"	"RNA extraction"	"A704-33_2"	"labeling"	"A704-33_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-33_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-33_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630408"	"RNA extraction"	"A704-57_2"	"labeling"	"A704-57_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-57_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-57_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630414"	"RNA extraction"	"A704-21"	"labeling"	"A704-21"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-21"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-21.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630417"	"RNA extraction"	"A704-45"	"labeling"	"A704-45"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-45"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-45.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630364"	"RNA extraction"	"A704-69"	"labeling"	"A704-69"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-69"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-69.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630430"	"RNA extraction"	"A704-10"	"labeling"	"A704-10"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-10"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-10.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630435"	"RNA extraction"	"A704-34_2"	"labeling"	"A704-34_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-34_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-34_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630389"	"RNA extraction"	"A704-58_2"	"labeling"	"A704-58_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-58_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-58_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630403"	"RNA extraction"	"A704-22"	"labeling"	"A704-22"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-22"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-22.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630387"	"RNA extraction"	"A704-46"	"labeling"	"A704-46"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-46"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-46.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630427"	"RNA extraction"	"A704-70"	"labeling"	"A704-70"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-70"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-70.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630418"	"RNA extraction"	"A704-11"	"labeling"	"A704-11"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-11"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-11.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630409"	"RNA extraction"	"A704-35"	"labeling"	"A704-35"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-35"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-35.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630371"	"RNA extraction"	"A704-59_2"	"labeling"	"A704-59_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-59_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-59_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630382"	"RNA extraction"	"A704-23_2"	"labeling"	"A704-23_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-23_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-23_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630365"	"RNA extraction"	"A704-47"	"labeling"	"A704-47"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-47"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-47.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630376"	"RNA extraction"	"A704-71"	"labeling"	"A704-71"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-71"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-71.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630411"	"RNA extraction"	"A704-12"	"labeling"	"A704-12"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-12"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-12.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630404"	"RNA extraction"	"A704-36"	"labeling"	"A704-36"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-36"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-36.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630370"	"RNA extraction"	"A704-60"	"labeling"	"A704-60"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-60"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-60.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630424"	"RNA extraction"	"A704-24_2"	"labeling"	"A704-24_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-24_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-24_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630420"	"RNA extraction"	"A704-48"	"labeling"	"A704-48"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-48"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-48.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630397"	"RNA extraction"	"A704-72"	"labeling"	"A704-72"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-72"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-72.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630428"	"RNA extraction"	"A704-07"	"labeling"	"A704-07"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-07"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-07.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630393"	"RNA extraction"	"A704-31"	"labeling"	"A704-31"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-31"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-31.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630374"	"RNA extraction"	"A704-55"	"labeling"	"A704-55"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-55"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-55.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630383"	"RNA extraction"	"A704-19_2"	"labeling"	"A704-19_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-19_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-19_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630392"	"RNA extraction"	"A704-43"	"labeling"	"A704-43"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-43"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-43.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630407"	"RNA extraction"	"A704-67"	"labeling"	"A704-67"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-67"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-67.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630426"	"RNA extraction"	"A704-08"	"labeling"	"A704-08"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-08"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-08.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630394"	"RNA extraction"	"A704-32"	"labeling"	"A704-32"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-32"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-32.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630431"	"RNA extraction"	"A704-56"	"labeling"	"A704-56"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-56"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-56.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630412"	"RNA extraction"	"A704-20"	"labeling"	"A704-20"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-20"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-20.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630433"	"RNA extraction"	"A704-44"	"labeling"	"A704-44"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-44"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-44.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"SAMEA2630388"	"RNA extraction"	"A704-68_2"	"labeling"	"A704-68_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-68_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-68_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
