"Sample Name"	"Protocol REF"	"Assay Name"	"Raw Data File"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Derived Data File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"34"	"data collection"	"A704-34_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-34_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"Phytophthora infestans 90135"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"58"	"data collection"	"A704-58_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-58_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"Phytophthora infestans 90136"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"22"	"data collection"	"A704-22"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-22.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"Phytophthora infestans 90137"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"46"	"data collection"	"A704-46"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-46.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"Phytophthora infestans 90138"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"70"	"data collection"	"A704-70"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-70.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"Phytophthora infestans 90139"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"11"	"data collection"	"A704-11"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-11.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"Phytophthora infestans 90140"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"35"	"data collection"	"A704-35"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-35.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"Phytophthora infestans 90141"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"59"	"data collection"	"A704-59_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-59_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"Phytophthora infestans 90142"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"23"	"data collection"	"A704-23_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-23_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"Phytophthora infestans 90143"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"47"	"data collection"	"A704-47"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-47.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"Phytophthora infestans 90144"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"71"	"data collection"	"A704-71"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-71.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"Phytophthora infestans 90145"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"12"	"data collection"	"A704-12"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-12.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"Phytophthora infestans 90146"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"36"	"data collection"	"A704-36"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-36.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"Phytophthora infestans 90147"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"60"	"data collection"	"A704-60"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-60.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"Phytophthora infestans 90148"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"24"	"data collection"	"A704-24_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-24_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"Phytophthora infestans 90149"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"48"	"data collection"	"A704-48"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-48.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"Phytophthora infestans 90150"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"72"	"data collection"	"A704-72"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-72.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"Phytophthora infestans 90151"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"7"	"data collection"	"A704-07"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-07.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"Phytophthora infestans 90152"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"31"	"data collection"	"A704-31"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-31.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"Phytophthora infestans 90153"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"55"	"data collection"	"A704-55"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-55.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"Phytophthora infestans 90154"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"19"	"data collection"	"A704-19_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-19_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"Phytophthora infestans 90155"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"43"	"data collection"	"A704-43"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-43.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"Phytophthora infestans 90156"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"67"	"data collection"	"A704-67"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-67.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"Phytophthora infestans 90157"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"8"	"data collection"	"A704-08"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-08.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"Phytophthora infestans 90158"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"32"	"data collection"	"A704-32"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-32.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"Phytophthora infestans 90159"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"56"	"data collection"	"A704-56"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-56.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"Phytophthora infestans 90160"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"20"	"data collection"	"A704-20"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-20.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"Phytophthora infestans 90161"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"44"	"data collection"	"A704-44"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-44.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"Phytophthora infestans 90162"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"68"	"data collection"	"A704-68_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-68_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"Phytophthora infestans 90163"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
